R,P,U
0.7167125451064424,0.08829437188427139,0.7734146170218442
0.7571673268112359,0.08122666721145685,0.7846682465670524
0.6957886054211495,0.09538574561673432,0.7735456063952773
0.75149811499396,0.08405347596048689,0.7713103304058728
0.71599887799925,0.09383084407194127,0.7731406032312373
0.7120131397154982,0.09364450372394667,0.7751218898212234
0.7331774146972909,0.08718971315380365,0.7727890209369169
0.757519601385265,0.08218492707952894,0.7724454246992057
0.8001295942548751,0.07775097173135359,0.7741289636032267
0.7484238962813747,0.07961519210539111,0.7793058610108982
0.7677028513635558,0.07901016225085802,0.7712961822157853
0.788910405600855,0.07882706476387455,0.7733397566350098
0.742675008808297,0.08452697465288214,0.7718638032516906
0.7202491300794711,0.08711541266481168,0.7732524939786485
0.6998818667146355,0.09382352864235324,0.7734272636208834
0.7793992337136756,0.0785543487785291,0.7734162286819171
0.7653260556281335,0.07483252569640464,0.779269156192891
0.7252563281353237,0.08487890036008715,0.7808785159588503
0.7453379282998581,0.08402021944954847,0.7717728322869007
0.7397210110087853,0.08552793436769675,0.7719012016751524
0.7773666772177056,0.07633665897131518,0.7816702555678686
0.7504714375460173,0.07825027294720116,0.7836236326103468
0.7887983943797816,0.07102109177149885,0.7786785264266244
0.7682373293430811,0.08010986082314589,0.7711228656628214
0.7503159337680858,0.08437742253116101,0.7720707390815116
0.7421865309466019,0.07995366734648217,0.7797518521508984
0.7509222238734778,0.08217944361014133,0.7763255550235659
0.7483121523798602,0.08471472742004642,0.7766489065602258
0.7347449282676288,0.08845484654215872,0.7739659296906037
0.7840958341619879,0.07324520254081757,0.7783238852438227
0.774162949567864,0.07762550410595452,0.7713046574294581
0.7345664964011088,0.08720716006324754,0.7719592381746783
0.7097924228332272,0.09437072854807259,0.774998748872066
0.7338515729206145,0.08799894115634159,0.7719316893004334
0.729850746246518,0.08832756849476703,0.7720652678564759
0.7565844793610536,0.08476691597345658,0.7736613050108315
0.7258465385809496,0.09349928167527576,0.7761056924159547
0.7252030606066943,0.08924950948606879,0.7722199744805734
0.7524585377384807,0.07627206445400864,0.7798891082885204
0.7650070842956102,0.08533037056079995,0.7719645691897647
0.727303483328348,0.08823834489330595,0.7734693471236753
0.738357401052367,0.09179691189207018,0.776135478656418
0.795641865443549,0.0723716719232476,0.7828883566823338
0.7448881083860112,0.08528582877547851,0.771525646942506
0.7445916095621903,0.08520704924636432,0.7743879008413915
0.7072807130192206,0.0964908601546219,0.7779571248106383
0.7145891195908654,0.08692372342334068,0.7850150858305649
0.7815790752802815,0.07949992372966924,0.7736843084702634
0.7376121284740305,0.08586631451530165,0.7723770302109256
0.7919040048080807,0.06903324410701482,0.7787886901655138
0.77632403559577,0.07972286715043497,0.775377274454499
0.7743232748135161,0.08122624837221559,0.7713107740292481
0.7650145377702572,0.07993100264468761,0.7712472042849241
0.7132174503835973,0.09669064014285163,0.7720292932543429
0.7516876420919825,0.08639146244387491,0.7767908857413963
0.7863018201542827,0.07632718124720413,0.7710934772399555
0.7729469118060959,0.07934076439996428,0.7711952773587274
0.7560771120781061,0.08219208827590517,0.7831802873312421
0.7659655771398259,0.07554630097251804,0.7794663391783979
0.7351845378997248,0.08415873559878252,0.7842832280756543
0.7302628813212865,0.08923349510887131,0.7720445656518794
0.728270889166858,0.09221827177521608,0.7719102586602801
0.7897111346453087,0.07063093497017708,0.7792263846149154
0.7451594337590751,0.0873595341821591,0.7719006209675001
0.7044655622571031,0.09464489304472486,0.773713676560546
0.7622745447931424,0.07450197395672017,0.7796389018511912
0.7393367060508349,0.08463565169433754,0.7723239162139319
0.7211930601546501,0.09550527495041404,0.7763947950721327
0.7800286550099628,0.07858216201926987,0.7713092173905973
0.7835353416962738,0.07697823297381215,0.7730903485551458
0.7018886070951036,0.09554961824802866,0.7763437077967932
0.7137045497638907,0.08733755107999204,0.7738367439597172
0.7378673440462379,0.08578422696683705,0.7719567418896575
0.7266468008080667,0.0823132459114779,0.7815152720855326
0.7593677105530008,0.07662848310574545,0.7793999705312952
0.7248158217123091,0.08982112398940784,0.7730518919480575
0.7862430669929341,0.0764005339897178,0.7716578026938025
0.7912887966520576,0.07994677427689297,0.7733512380983206
0.7296798807227294,0.08461622156447604,0.7729311830249649
0.7712136038775653,0.08102473933405842,0.772918997733542
0.7719776788416486,0.07645592271758733,0.7829786817529739
0.7956717787396628,0.06963363803457502,0.7784686831473043
0.732207886330399,0.08972987316904894,0.7767145869825307
