w,r,n,R,P,U,C_entropy_topsis,C_equal_topsis,grey_grade
0.22,3.05,4,0.7316393164840526,0.127968730517025,0.7866159857172798,0.5803076904606147,0.5887132788335486,0.6376230202283022
0.11,4.5,4,0.7532998972283061,0.0809496237533505,0.7995097473037718,0.5752852299550862,0.5132096220452003,0.7008276039753767
0.105,4.5,4,0.7538902392080418,0.0807005674784563,0.8007196938571993,0.5628721265788221,0.504512580802124,0.6969799846652844
0.1,4.5,4,0.754445297487772,0.0804065081420504,0.8018195360631608,0.552068109145854,0.4969258048378565,0.6941165856160867
0.24,3.0,4,0.730724815353682,0.1333804617400709,0.7874259170241621,0.5507759694362311,0.5681701417960353,0.6258837257209184
0.235,3.0,4,0.7307604339881975,0.1325897677876241,0.787810982439534,0.5500499166280371,0.5689640890803889,0.6247154087599174
0.245,3.0,4,0.7307663546577576,0.134256220980072,0.787237890005505,0.5490767260339843,0.5654547480969582,0.6255808663801274
0.23,3.0,4,0.7308694134917598,0.1318802917862068,0.7883816988111926,0.5469471766282731,0.5678828008777038,0.6221996649594306
0.225,3.0,4,0.7310478228361698,0.1312480718195074,0.7891262977926571,0.5415099327830246,0.564968008289723,0.6184792620565168
0.225,3.2,6,0.7306126041699094,0.1343656144510107,0.7915793254286855,0.5034731078832191,0.541543192385942,0.6011252353363761
0.23,3.2,6,0.730479317360064,0.1355505262407896,0.7911966038205576,0.5033096271390961,0.5401744941825288,0.6016939584100482
0.235,3.2,6,0.7304237060861736,0.1368263151655325,0.7909871333241519,0.5008507650931473,0.5369733663902432,0.6010764716750997
0.24,3.2,6,0.7304496433432365,0.1381968266847273,0.790962852965937,0.49601832277024005,0.5318926289808719,0.5991817565345856
0.23,3.15,6,0.7302162172880426,0.1379630597461285,0.7932547116116349,0.47231014525135934,0.5213115145439141,0.5881832506057982
0.225,3.15,6,0.7303551023457563,0.1367783329184867,0.7937060723030718,0.4713561975027591,0.5220171531460629,0.5873060053528842
0.235,3.15,6,0.730154535649679,0.1392386624198155,0.7929748934991765,0.47095372685086845,0.5187931268038906,0.5879503997549735
0.24,3.15,6,0.7301739313714248,0.1406089660494065,0.7928785494785667,0.4672062190317639,0.514415463341797,0.5865161213883204
0.23,3.1,6,0.7300463229011284,0.1404862239480334,0.7956994973384678,0.4364877851872462,0.49979799768562433,0.5733285955598337
0.235,3.1,6,0.7299780292608802,0.1417614334262075,0.7953460576248025,0.43633891059548263,0.49801258422239275,0.5734385750130481
0.24,3.1,6,0.7299903383224744,0.1431313086034292,0.7951743403497925,0.43378987143013675,0.49439404017231225,0.5724282269393131
0.235,3.05,6,0.7299038550924275,0.144397565717903,0.7981188455643141,0.39680365993167965,0.4747445580173335,0.557757726164497
0.24,3.05,6,0.7299085469505944,0.145766777945327,0.7978685392452793,0.39555846074324774,0.47192687744615763,0.5571273528926841
0.19,3.7,10,0.7321611445766384,0.1199914457877719,0.8085830561608632,0.3679429058705819,0.4800018390027377,0.5527955789046783
0.19,3.65,10,0.7310886885435928,0.1214405317958013,0.8081698204103497,0.36792580729903823,0.485385602138178,0.5536530035005048
0.195,3.65,10,0.730345745394258,0.1227840681513538,0.8077680713048433,0.3677538606747797,0.4885503486088966,0.5540895994351723
0.195,3.7,10,0.7313985254245338,0.1213325814037751,0.8081971520749041,0.3674878194867967,0.48328258396076984,0.5530560034960912
0.185,3.7,10,0.7329841892430071,0.1187314057826847,0.8090377897694645,0.3674239112797765,0.47556529561908634,0.5521571043257725
0.185,3.65,10,0.7318915873219791,0.1201782377033734,0.8086387321626698,0.3671372313518171,0.48107246396637826,0.5528402592770925
0.2,3.65,10,0.7296674482316445,0.1242133400574706,0.8074469045121211,0.36643735587998894,0.490455709748035,0.5540794527884545
0.19,3.75,10,0.7332421215901942,0.1186114545942342,0.8091625777935822,0.36626446370658333,0.47329497267859005,0.551452797071223
0.18,3.7,10,0.7338628849541728,0.1175478696050512,0.8095478278185844,0.36611860984270395,0.4701061486196439,0.5512090034754535
0.195,3.6,10,0.7293123629468757,0.1243087282881224,0.8075298551270185,0.36596299643238844,0.4922337821574465,0.5545123399801946
0.2,3.7,10,0.7307010224076126,0.1227593184717838,0.8078934971500297,0.36587321530717987,0.4852891384174878,0.5528694193285423
0.19,3.6,10,0.7300362530214596,0.1229628234736338,0.8079510814194236,0.3658325677302849,0.48916914229204933,0.553892070117276
0.18,3.65,10,0.7327496678208391,0.1189926063866551,0.8091612838328172,0.3655750002727161,0.475736564464459,0.5517212124602926
0.195,3.75,10,0.7324592002462534,0.119950165406655,0.8087888590768844,0.3655458212033298,0.4766980615007812,0.5515469427501374
0.2,3.6,10,0.7286526484470965,0.1257404992522506,0.8071875525592105,0.3649716563860298,0.4940618049415435,0.5546876165660102
0.185,3.6,10,0.7308196287282022,0.1216983048358529,0.8084378138671953,0.36476273721579827,0.48497205625008294,0.5528988415257592
0.205,3.65,10,0.729058395547885,0.1257327464193829,0.8072196038809277,0.3637990162682676,0.49100667560088307,0.5535524697344167
0.175,3.65,10,0.7336580810241675,0.1178789804586951,0.8097238825885238,0.36342477415861063,0.46951615824669746,0.55036398778791
0.18,3.6,10,0.7316577168688854,0.1205106059375402,0.8089765341824691,0.3629390822123434,0.4797609888706768,0.5516037110404364
0.205,3.6,10,0.7280617078903104,0.1272625217158104,0.8069374578270126,0.36268328376902126,0.49456440924195,0.5543461435694339
0.195,3.55,10,0.7283098178337882,0.1259105868155992,0.80751015661951,0.36177735623573,0.49411866577248087,0.5541929110577383
0.19,3.55,10,0.7290152730230147,0.1245623541072588,0.8079544552095264,0.36132684733548043,0.4911292909741242,0.553384459929855
0.2,3.55,10,0.7276680673743157,0.1273448119324716,0.8071431282890291,0.361137247163956,0.49590127927157107,0.5545597904987352
0.175,3.6,10,0.7325456694373156,0.1193950821607166,0.8095536562840993,0.3605463456867651,0.4736669599182292,0.5500757882036467
0.185,3.55,10,0.7297797435843791,0.1232956478955221,0.8084626107472415,0.3599663080185184,0.48703128013589264,0.5522076476857862
0.205,3.55,10,0.7270946197212584,0.1288694005012133,0.8068666524016008,0.35923329013720495,0.49639366605259466,0.5544119250273293
